Player,Year,Quarter,Min,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,,,
K. Leonard,2017,OT1,5,SAS,26,1,0,1,4,5,2,4,50,1,2,50,0,0,0,0,0,0,0,1,0,0,1,4,0,0,-3,,,
K. Leonard,2017,OT1,4,SAS,26,1,0,1,4,5,2,4,50,1,2,50,0,0,0,0,0,0,0,1,0,0,1,4,0,0,-1,,,
K. Leonard,2017,OT1,3,SAS,26,1,0,1,2,5,2,3,66.7,1,1,100,0,0,0,0,0,0,0,1,0,0,1,4,0,0,-3,,,
K. Leonard,2017,OT1,2,SAS,26,1,0,1,1,3,1,2,50,1,1,100,0,0,0,0,0,0,0,1,0,0,1,2,0,0,-5,,,
K. Leonard,2017,OT1,1,SAS,26,1,0,1,1,3,1,1,100,1,1,100,0,0,0,0,0,0,0,1,0,0,1,2,0,0,-4,,,
K. Leonard,2017,OT1,0.5,SAS,26,1,0,1,0,3,1,1,100,1,1,100,0,0,0,0,0,0,0,0,0,0,0,3,0,0,-1,,,
K. Leonard,2014,OT1,5,SAS,23,1,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,,,
K. Leonard,2014,OT1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K. Leonard,2014,OT1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K. Leonard,2014,OT1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K. Leonard,2014,OT1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K. Leonard,2014,OT1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K. Leonard,2013,OT1,5,SAS,22,5,3,2,9,6,3,4,75,0,0,0,0,0,0,0,4,4,0,0,0,0,0,10.8,1,0,8,,,
K. Leonard,2013,OT1,4,SAS,22,3,2,1,6,4,2,3,66.7,0,0,0,0,0,0,0,3,3,0,0,0,0,0,7.6,1,0,9,,,
K. Leonard,2013,OT1,3,SAS,22,3,2,1,4,2,1,2,50,0,0,0,0,0,0,0,3,3,0,0,0,0,0,5.6,1,0,7,,,
K. Leonard,2013,OT1,2,SAS,22,2,1,1,2,2,1,2,50,0,0,0,0,0,0,0,2,2,0,0,0,0,0,4.4,1,0,0,,,
K. Leonard,2013,OT1,1,SAS,22,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2.4,1,0,-2,,,
K. Leonard,2013,OT1,0.5,SAS,22,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1.2,1,0,-2,,,
D. Lillard,2019,4,5,POR,28,5,2,3,13,13,4,11,36.4,2,7,28.6,3,4,75,0,1,1,1,1,0,0,0,14.7,2,0,-4,,,
D. Lillard,2019,4,4,POR,28,5,2,3,12,13,4,11,36.4,2,7,28.6,3,4,75,0,1,1,1,1,0,0,0,14.7,2,0,-8,,,
D. Lillard,2019,4,3,POR,28,5,2,3,10,11,4,9,44.4,2,5,40,1,2,50,0,0,0,1,1,0,0,0,11.5,2,0,-5,,,
D. Lillard,2019,4,2,POR,28,5,2,3,9,8,3,7,42.9,1,4,25,1,2,50,0,0,0,1,1,0,0,0,8.5,2,0,-2,,,
D. Lillard,2019,4,1,POR,28,5,2,3,5,8,3,6,50,1,3,33.3,1,2,50,0,0,0,0,0,0,0,0,8,2,0,0,,,
D. Lillard,2019,4,0.5,POR,28,5,2,3,2,4,1,3,33.3,1,2,50,1,2,50,0,0,0,0,0,0,0,0,4,2,0,-4,,,
D. Lillard,2018,4,5,POR,27,3,0,3,5,0,0,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,2.7,0,0,-17,,,
D. Lillard,2018,4,4,POR,27,3,0,3,4,0,0,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2.7,0,0,-1,,,
D. Lillard,2018,4,3,POR,27,3,0,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12,,,
D. Lillard,2018,4,2,POR,27,2,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,,,
D. Lillard,2018,4,1,POR,27,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,,,
D. Lillard,2018,4,0.5,POR,27,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,,,
D. Lillard,2016,4,5,POR,25,5,2,3,9,8,3,7,42.9,1,3,33.3,1,1,100,0,0,0,0,0,0,0,1,8,1,0,-7,,,
D. Lillard,2016,4,4,POR,25,5,2,3,6,6,2,5,40,1,2,50,1,1,100,0,0,0,0,0,0,0,0,6,1,0,-6,,,
D. Lillard,2016,4,3,POR,25,4,2,2,3,6,2,4,50,1,1,100,1,1,100,0,0,0,0,0,0,0,0,6,1,0,2,,,
D. Lillard,2016,4,2,POR,25,3,1,2,3,1,0,2,0,0,0,0,1,1,100,0,0,0,0,0,0,0,0,1,1,0,-3,,,
D. Lillard,2016,4,1,POR,25,3,1,2,2,1,0,2,0,0,0,0,1,1,100,0,0,0,0,0,0,0,0,1,1,0,-4,,,
D. Lillard,2016,4,0.5,POR,25,3,1,2,1,1,0,1,0,0,0,0,1,1,100,0,0,0,0,0,0,0,0,1,1,0,-4,,,
D. Lillard,2015,4,5,POR,24,2,1,1,4,3,1,2,50,1,2,50,0,0,0,0,0,0,1,0,0,0,0,4.5,0,0,4,,,
D. Lillard,2015,4,4,POR,24,2,1,1,3,3,1,2,50,1,2,50,0,0,0,0,0,0,1,0,0,0,0,4.5,0,0,2,,,
D. Lillard,2015,4,3,POR,24,2,1,1,2,3,1,1,100,1,1,100,0,0,0,0,0,0,1,0,0,0,0,4.5,0,0,4,,,
D. Lillard,2015,4,2,POR,24,1,1,0,1,3,1,1,100,1,1,100,0,0,0,0,0,0,1,0,0,0,0,4.5,0,0,6,,,
D. Lillard,2015,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D. Lillard,2015,4,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D. Lillard,2014,4,5,POR,23,5,3,2,12,9,3,7,42.9,2,2,100,1,1,100,3,1,4,0,1,0,0,2,12.8,0,0,7,,,
D. Lillard,2014,4,4,POR,23,5,3,2,11,8,3,7,42.9,2,2,100,0,0,0,3,1,4,0,1,0,0,2,11.8,0,0,3,,,
D. Lillard,2014,4,3,POR,23,4,3,1,9,8,3,6,50,2,2,100,0,0,0,3,1,4,0,1,0,0,2,11.8,0,0,12,,,
D. Lillard,2014,4,2,POR,23,4,3,1,7,8,3,5,60,2,2,100,0,0,0,3,1,4,0,1,0,0,1,11.8,0,0,6,,,
D. Lillard,2014,4,1,POR,23,4,3,1,4,6,2,4,50,2,2,100,0,0,0,2,1,3,0,1,0,0,0,8.6,0,0,8,,,
D. Lillard,2014,4,0.5,POR,23,4,3,1,2,6,2,4,50,2,2,100,0,0,0,2,1,3,0,1,0,0,0,8.6,0,0,7,,,
D. Lillard,2019,OT1,5,POR,28,2,1,1,9,0,0,5,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,4.5,1,0,1,,,
D. Lillard,2019,OT1,4,POR,28,2,1,1,7,0,0,4,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,4.5,1,0,3,,,
D. Lillard,2019,OT1,3,POR,28,2,1,1,5,0,0,4,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,4.5,1,0,0,,,
D. Lillard,2019,OT1,2,POR,28,2,1,1,4,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,-1,,,
D. Lillard,2019,OT1,1,POR,28,2,1,1,2,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,-3,,,
D. Lillard,2019,OT1,0.5,POR,28,2,1,1,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,2,,,
D. Lillard,2019,OT2,5,POR,28,1,1,0,3,2,1,2,50,0,1,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,6,,,
D. Lillard,2019,OT2,4,POR,28,1,1,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,4,,,
D. Lillard,2019,OT2,3,POR,28,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,2,,,
D. Lillard,2019,OT2,2,POR,28,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,2,,,
D. Lillard,2019,OT2,1,POR,28,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,,,
D. Lillard,2019,OT2,0.5,POR,28,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,,,
D. Lillard,2019,OT3,5,POR,28,1,1,0,3,2,1,3,33.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,,,
D. Lillard,2019,OT3,4,POR,28,1,1,0,3,2,1,3,33.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,,,
D. Lillard,2019,OT3,3,POR,28,1,1,0,2,2,1,2,50,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,-2,,,
D. Lillard,2019,OT3,2,POR,28,1,1,0,2,2,1,2,50,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,-2,,,
D. Lillard,2019,OT3,1,POR,28,1,1,0,1,2,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,,,
D. Lillard,2019,OT3,0.5,POR,28,1,1,0,0,2,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,,,
D. Lillard,2019,OT4,5,POR,28,1,1,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,,
D. Lillard,2019,OT4,4,POR,28,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,,,
D. Lillard,2019,OT4,3,POR,28,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,,
D. Lillard,2019,OT4,2,POR,28,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,,,
D. Lillard,2019,OT4,1,POR,28,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,,,
D. Lillard,2019,OT4,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D. Lillard,2014,OT1,5,POR,23,3,2,1,7,5,1,5,20,0,1,0,3,3,100,0,2,2,0,0,0,0,0,7.4,0,0,6,,,
